측정소명,측정망명,측정일시각,아황산가스농도값,일산화탄소농도값,오존농도값,이산화질소농도값,미세먼지PM10농도값,미세먼지PM2.5농도값
호매실동,도시대기,2020.1.1 1:00,0.002,0.5,0.002,0.04,26,7
천천동,도시대기,2020.1.1 1:00,0.003,0.7,0.002,0.041,30,12
인계동,도시대기,2020.1.1 1:00,0.003,0.6,0.001,0.04,22,12
영통동,도시대기,2020.1.1 1:00,0.003,0.6,0.004,0.036,27,12
신풍동,도시대기,2020.1.1 1:00,0.003,0.8,0.001,0.042,24,21
광교동,도시대기,2020.1.1 1:00,0.005,0.6,0.003,0.043,25,11
고색동,도시대기,2020.1.1 1:00,0.003,0.7,0.001,0.039,29,23
경수대로(동수원),도로변대기,2020.1.1 1:00,0.003,0.9,0.001,0.036,24,17
호매실동,도시대기,2020.1.1 2:00,0.002,0.5,0.003,0.036,33,9
천천동,도시대기,2020.1.1 2:00,0.002,0.6,0.004,0.036,31,15
인계동,도시대기,2020.1.1 2:00,0.002,0.6,0.003,0.035,26,11
영통동,도시대기,2020.1.1 2:00,0.002,0.6,0.007,0.029,30,20
신풍동,도시대기,2020.1.1 2:00,0.003,0.7,0.002,0.038,33,24
광교동,도시대기,2020.1.1 2:00,0.005,0.5,0.006,0.033,25,12
고색동,도시대기,2020.1.1 2:00,0.003,0.7,0.001,0.036,32,19
경수대로(동수원),도로변대기,2020.1.1 2:00,0.003,0.8,0.003,0.03,37,15
호매실동,도시대기,2020.1.1 3:00,0.002,0.4,0.003,0.036,27,19
천천동,도시대기,2020.1.1 3:00,0.002,0.6,0.006,0.034,32,15
인계동,도시대기,2020.1.1 3:00,0.002,0.5,0.006,0.028,25,16
영통동,도시대기,2020.1.1 3:00,0.002,0.6,0.008,0.026,29,19
신풍동,도시대기,2020.1.1 3:00,0.003,0.7,0.006,0.029,31,17
광교동,도시대기,2020.1.1 3:00,0.004,0.4,0.01,0.026,25,11
고색동,도시대기,2020.1.1 3:00,0.003,0.6,0.003,0.035,31,20
경수대로(동수원),도로변대기,2020.1.1 3:00,0.003,0.7,0.005,0.025,31,17
호매실동,도시대기,2020.1.1 4:00,0.002,0.4,0.006,0.029,25,19
천천동,도시대기,2020.1.1 4:00,0.002,0.6,0.011,0.026,26,15
인계동,도시대기,2020.1.1 4:00,0.002,0.5,0.007,0.026,24,15
영통동,도시대기,2020.1.1 4:00,0.002,0.6,0.011,0.023,22,18
신풍동,도시대기,2020.1.1 4:00,0.003,0.7,0.008,0.025,26,18
광교동,도시대기,2020.1.1 4:00,0.004,0.5,0.01,0.023,23,11
고색동,도시대기,2020.1.1 4:00,0.003,0.6,0.009,0.026,23,14
경수대로(동수원),도로변대기,2020.1.1 4:00,0.003,0.7,0.006,0.023,30,16
호매실동,도시대기,2020.1.1 5:00,0.002,0.3,0.011,0.022,22,17
천천동,도시대기,2020.1.1 5:00,0.003,0.6,0.01,0.028,20,15
인계동,도시대기,2020.1.1 5:00,0.002,0.5,0.008,0.025,20,15
영통동,도시대기,2020.1.1 5:00,0.002,0.5,0.012,0.019,17,16
신풍동,도시대기,2020.1.1 5:00,0.004,0.7,0.005,0.03,24,16
광교동,도시대기,2020.1.1 5:00,0.004,0.4,0.012,0.019,21,12
고색동,도시대기,2020.1.1 5:00,0.003,0.6,0.012,0.021,22,16
경수대로(동수원),도로변대기,2020.1.1 5:00,0.004,0.7,0.006,0.023,26,17
호매실동,도시대기,2020.1.1 6:00,0.002,0.4,0.01,0.022,19,16
천천동,도시대기,2020.1.1 6:00,0.003,0.6,0.008,0.03,26,14
인계동,도시대기,2020.1.1 6:00,0.003,0.5,0.009,0.023,19,16
영통동,도시대기,2020.1.1 6:00,0.002,0.6,0.01,0.024,26,10
신풍동,도시대기,2020.1.1 6:00,0.004,0.7,0.004,0.031,24,16
광교동,도시대기,2020.1.1 6:00,0.005,0.5,0.008,0.027,24,11
고색동,도시대기,2020.1.1 6:00,0.003,0.6,0.01,0.022,20,11
경수대로(동수원),도로변대기,2020.1.1 6:00,0.003,0.7,0.005,0.025,29,15
호매실동,도시대기,2020.1.1 7:00,0.002,0.4,0.007,0.026,24,18
천천동,도시대기,2020.1.1 7:00,0.003,0.6,0.008,0.028,27,15
인계동,도시대기,2020.1.1 7:00,0.003,0.5,0.01,0.02,22,15
영통동,도시대기,2020.1.1 7:00,0.002,0.6,0.008,0.025,22,14
신풍동,도시대기,2020.1.1 7:00,0.003,0.7,0.007,0.026,24,14
광교동,도시대기,2020.1.1 7:00,0.004,0.5,0.007,0.026,24,12
고색동,도시대기,2020.1.1 7:00,0.003,0.6,0.007,0.026,21,18
경수대로(동수원),도로변대기,2020.1.1 7:00,0.003,0.8,0.002,0.028,30,18
호매실동,도시대기,2020.1.1 8:00,0.002,0.4,0.007,0.026,24,20
천천동,도시대기,2020.1.1 8:00,0.003,0.6,0.005,0.032,26,15
인계동,도시대기,2020.1.1 8:00,0.002,0.5,0.004,0.029,22,15
영통동,도시대기,2020.1.1 8:00,0.002,0.6,0.007,0.026,22,13
신풍동,도시대기,2020.1.1 8:00,0.003,0.7,0.002,0.035,22,14
광교동,도시대기,2020.1.1 8:00,0.003,0.5,0.005,0.033,25,12
고색동,도시대기,2020.1.1 8:00,0.003,0.6,0.006,0.028,22,16
경수대로(동수원),도로변대기,2020.1.1 8:00,0.003,0.7,0.002,0.028,28,17
호매실동,도시대기,2020.1.1 9:00,0.002,0.4,0.006,0.028,24,18
천천동,도시대기,2020.1.1 9:00,0.003,0.6,0.003,0.035,23,15
인계동,도시대기,2020.1.1 9:00,0.003,0.6,0.003,0.032,22,18
영통동,도시대기,2020.1.1 9:00,0.002,0.6,0.005,0.029,28,19
신풍동,도시대기,2020.1.1 9:00,0.004,0.7,0.003,0.032,25,15
광교동,도시대기,2020.1.1 9:00,0.005,0.5,0.005,0.03,24,16
고색동,도시대기,2020.1.1 9:00,0.003,0.6,0.006,0.025,20,17
경수대로(동수원),도로변대기,2020.1.1 9:00,0.004,0.8,0.003,0.027,37,17
호매실동,도시대기,2020.1.1 10:00,0.002,0.4,0.006,0.028,28,20
천천동,도시대기,2020.1.1 10:00,0.003,0.7,0.005,0.032,24,16
인계동,도시대기,2020.1.1 10:00,0.003,0.6,0.004,0.029,28,20
