순번,관할관청,운행업체,노선번호,노선ID,기점,기점_STATION_ID,종점,종점_STATION_ID,주중배차간격,주말배차간격,상행첫차,상행막차,하행첫차,하행막차
1, 가평군,가평교통,50-5,239000002,목동터미널,239000272,용수동종점,239000052,370분,370분,09:20,19:00,10:10,19:50
2, 가평군,가평교통,40-5,239000005,현리터미널,239000687,귀목종점,239000123,270분,270분,06:40,17:00,07:10,17:30
3, 가평군,가평교통,43,239000006,현리터미널,239000687,청평터미널,239000738,690분,690분,06:00,19:20,06:20,19:40
4, 가평군,가평교통,40-6,239000007,현리터미널,239000687,독박골,239000939,310분,310분,07:20,16:40,07:40,17:00
5, 가평군,가평교통,30-5,239000010,청평터미널,239000738,고재,239000496,130분,130분,06:20,20:00,06:50,20:30
6, 가평군,가평교통,30-3,239000011,청평터미널,239000738,수리재종점,239000179,185분,185분,07:00,18:30,07:25,18:55
7, 가평군,가평교통,80,239000012,현리,239000522,광릉내,222001122,180분,180분,09:00,17:00,09:50,17:50
8, 가평군,가평교통,30-6,239000013,청평터미널,239000738,수목원.종점,239000749,80분,80분,09:50,19:20,10:20,19:45
9, 가평군,가평교통,40-2,239000014,현리,239000522,봉수리,239000103,190분,190분,06:45,18:30,07:05,18:50
10, 가평군,가평교통,30-1,239000016,청평터미널,239000738,송천리,239000534,405분,405분,07:25,18:30,07:45,18:50
11, 가평군,가평교통,1330-44,239000024,운악산입구,239000117,현대코아,105000199,60분,60분,05:15,21:30,07:05,23:25
12, 가평군,가평교통,50-1,239000027,목동터미널,239000272,백둔리종점,239000031,230분,230분,08:35,18:30,08:55,18:50
13, 가평군,가평교통,50-4,239000028,목동터미널,239000272,건들레.종점,239000776,425분,425분,13:15,20:20,13:45,20:50
14, 가평군,가평교통,73-1,239000031,청평터미널,239000738,가평터미널,239000282,120분,120분,06:45,18:30,07:10,19:00
15, 가평군,가평교통,10-4,239000032,가평터미널,239000282,남이섬종점,239000938,70분,70분,07:40,19:40,07:50,19:50
16, 가평군,가평교통,12,239000033,가평터미널,239000282,설악터미널,239000621,130분,130분,07:10,18:30,07:50,19:10
17, 가평군,가평교통,10-6,239000036,가평터미널,239000282,리버파크,500000208,200분,200분,08:05,18:20,08:30,18:50
18, 가평군,가평교통,74-1,239000038,현리터미널,239000687,불기종점,239000470,150분,150분,07:00,17:30,07:20,17:50
19, 가평군,가평교통,40-4,239000040,현리터미널,239000687,대보2리종점,239000143,230분,230분,06:50,18:20,07:15,18:50
20, 가평군,가평교통,74-2,239000041,현리,239000688,연안산입구,239000151,210분,210분,07:45,18:20,08:00,18:35
21, 가평군,가평교통,20-1,239000044,설악터미널,239000621,영천벌,239000691,235분,235분,07:25,18:20,07:45,18:40
22, 가평군,가평교통,20-3,239000045,설악터미널,239000374,묵안리종점,239000399,180분,180분,06:20,21:10,07:00,21:40
23, 가평군,가평교통,50-2,239000046,목동터미널,239000272,싸리재종점,239000261,,,19:40,19:55,19:40,19:55
24, 가평군,가평교통,60-29,239000047,가평터미널,239000282,두밀리종점,239000014,205분,205분,06:50,18:50,07:20,19:20
25, 가평군,가평교통,71-1,239000048,가평역,239000822,개곡리종점,239000278,120분,120분,07:25,19:00,07:50,19:30
26, 가평군,가평교통,71-3,239000058,가평터미널,239000282,금대리,239000754,190분,190분,06:50,18:00,07:10,18:20
27, 가평군,가평교통,20-2,239000065,설악터미널,239000374,유명산종점,239000418,120분,120분,07:05,21:10,07:35,21:40
28, 가평군,가평교통,20-5,239000068,설악터미널,239000374,송산2리,239000343,120분,120분,06:40,19:50,07:00,20:15
29, 가평군,가평교통,20-4,239000072,설악터미널,239000374,모곡,500000227,200분,200분,06:40,18:30,07:20,19:10
30, 가평군,가평교통,30-7,239000078,청평터미널,239000738,수목원.종점,239000749,185분,185분,09:20,15:50,09:50,16:20
31, 가평군,가평교통,23,239000079,설악터미널,239000374,농협,239000528,100분,100분,05:20,22:40,05:40,23:00
32, 가평군,가평교통,30-2,239000082,청평터미널,239000738,야밀종점,239000520,240분,240분,07:40,19:30,08:00,19:50
33, 가평군,가평교통,10-7,239000084,가평터미널,239000607,가평역,239000818,90분,90분,04:40,19:00,07:50,21:00
34, 가평군,가평교통,71-4,239000101,가평역,239000822,용추종점,239000078,165분,165분,06:50,18:45,07:25,19:20
35, 가평군,가평교통,8005,239000104,유명산종점,239000685,현대코아,105000199,240분,240분,06:00,22:00,07:35,23:35
36, 가평군,가평교통,1330-2,239000110,가평터미널,239000282,현대코아,105000199,60분,60분,05:30,23:10,07:10,01:40
37, 가평군,가평교통,1330-4,239000111,현리터미널,239000687,현대코아,105000199,30분,30분,04:45,23:35,06:35,01:25
38, 가평군,가평교통,15,239000112,가평역,239000822,목동터미널,239000270,105분,105분,04:45,22:10,05:10,22:35
39, 가평군,가평교통,50-3,239000119,목동터미널,239000272,꽃넘이길종점,239000610,370분,370분,10:50,17:00,11:05,17:15
40, 가평군,가평교통,60-19,239000120,가평터미널,239000282,제이정동빌라,239000894,60분,60분,08:30,18:30,08:45,18:45
41, 가평군,가평교통,60-10,239000121,가평터미널,239000282,제이정동빌라,239000004,60분,60분,08:00,20:00,08:10,20:10
42, 가평군,가평교통,41,239000129,현리터미널,239000687,가평터미널,239000282,200분,200분,07:50,18:10,08:40,19:00
43, 가평군,가평교통,1330-3,239000135,목동터미널,239000270,현대코아,105000199,320분,320분,07:15,17:15,09:20,19:20
44, 가평군,가평교통,30-9,239000137,청평터미널,239000738,삼성쉐르빌,239000843,220분,220분,08:40,18:00,08:50,18:10
45, 가평군,가평교통,40-8,239000138,현리터미널,239000687,귀목종점,239000123,340분,340분,07:30,18:50,08:05,19:30
46, 가평군,가평교통,7000,239000139,가평터미널,239000282,잠실역.롯데월드,123000049,230분,230분,06:30,21:50,08:15,23:30
47, 가평군,가평교통,7001,239000140,효정매그놀리아국제병원,239000613,잠실역.롯데월드,123000049,120분,120분,05:30,23:50,06:45,01:00
48, 가평군,가평교통,7002,239000141,유명산종점,239000685,한교막(양평방면),239000510,230분,230분,05:55,22:45,07:10,00:00
49, 가평군,가평교통,30-8,239000142,청평터미널,239000738,독박골,239000939,535분,535분,07:30,16:50,07:50,17:10
50, 가평군,가평교통,71-2,239000143,가평터미널,239000282,금대리,239000310,330분,330분,11:10,19:10,11:35,19:35
51, 가평군,가평교통,74-3,239000144,현리터미널,239000687,불기종점,239000470,410분,410분,08:10,19:00,08:30,19:20
52, 가평군,가평교통,15-3,239000145,가평역,239000822,꽃넘이길종점,239000610,265분,265분,09:45,14:10,10:30,14:50
53, 가평군,가평교통,15-1,239000146,가평역,239000822,백둔리종점,239000031,385분,385분,06:40,16:45,07:35,17:30
54, 가평군,가평교통,15-2,239000147,가평역,239000822,싸리재종점,239000261,355분,355분,07:05,16:30,07:40,17:10
55, 가평군,가평교통,15-4,239000148,가평역,239000822,건들레.종점,239000776,350분,350분,06:40,16:50,07:30,17:40
56, 가평군,가평교통,15-5,239000149,가평역,239000822,용수동종점,239000928,320분,320분,06:00,17:05,07:05,18:10
57, 고양시,서울여객,85,218000001,고양동종점,218000494,송정역(중),115000634,8분~15분,20분~30분,05:00,22:20,06:11,23:20
58, 고양시,서울여객,85-1,218000002,고양동종점,218000494,송정역(중),115000634,220분~300분,220분~300분,05:01,22:15,06:01,23:15
59, 고양시,고양교통,97,218000006,김포대학차고지(경유),277102333,행신역,218000463,25분~30분,25분~30분,04:50,00:10,04:50,00:10
60, 고양시,고양교통,1001,218000007,고양공영차고지(경유),277101631,부천소방서.부천대학사거리,210000011,10분~15분,15분~20분,04:40,23:20,05:50,00:25
61, 고양시,명성운수,1500,218000010,교하차고지,229001251,CM충무병원,118000524,12분~15분,16분~19분,04:40,22:40,05:50,23:55
62, 고양시,명성운수,1100,218000011,고양공영차고지,219000644,숭례문,101000022,70분~80분,100분,04:55,22:40,05:55,23:55
63, 고양시,가온누리엠,M7106,218000012,킨텍스제2전시장(경유),277103703,숭례문,101000022,10분~20분,35분~50분,05:30,00:00,06:20,01:00
64, 고양시,가온누리엠,M7106,218000012,킨텍스제2전시장(경유),277103703,숭례문,101000022,10분~20분,35분~50분,06:00,23:00,06:50,00:00
65, 고양시,고양교통,88A,218000018,고양공영차고지(경유),277101631,백석역.고양종합터미널,219000446,4분~10분,5분~10분,05:00,00:50,,
66, 고양시,고양교통,88A,218000018,고양공영차고지(경유),277101631,백석역.고양종합터미널,219000446,4분~10분,5분~10분,05:30,00:20,,
67, 고양시,고양교통,88B,218000019,고양공영차고지(경유),277101631,백석역6번출구,219000015,4분~10분,5분~13분,05:00,01:05,,
68, 고양시,고양교통,88B,218000019,고양공영차고지(경유),277101631,백석역6번출구,219000015,4분~10분,5분~13분,05:30,00:20,,
69, 고양시,명성운수,M7129,218000020,능곡역.능곡시장,218000193,광화문.광화문빌딩,100000034,25분~45분,30분~50분,05:30,23:00,06:05,23:40
70, 고양시,명성운수,M7129,218000020,능곡역.능곡시장,218000193,광화문.광화문빌딩,100000034,25분~45분,30분~50분,,,,
71, 고양시,가온누리엠,M7731,218000105,하이파크시티3.5단지,219000667,공덕역1번출구,113000089,10분~15분,20분~25분,05:30,00:00,06:30,01:00
72, 고양시,가온누리엠,M7731,218000105,하이파크시티3.5단지,219000667,공덕역1번출구,113000089,10분~15분,20분~25분,06:00,00:00,07:00,01:00
73, 고양시,선진버스,60,218000107,동국로삼거리,219000736,일산역,219000064,60분~100분,120분~200분,06:00,20:00,06:50,20:50
74, 고양시,선진버스,60,218000107,동국로삼거리,219000736,일산역,219000064,60분~100분,120분~200분,07:00,20:00,07:50,20:50
75, 고양시,서울여객,733,218000108,진관공영차고지,111001112,홍대입구역(중),113000414,200분~240분,,07:30,22:50,09:00,23:50
76, 고양시,명성운수,999,218000111,고양종합운동장.일산서구청,219000450,신원중학교,218001296,40분~50분,40분~50분,05:00,22:50,06:00,23:50
77, 고양시,명성운수,999,218000111,고양종합운동장.일산서구청,219000450,신원중학교,218001296,40분~50분,40분~50분,05:30,22:50,06:30,23:10
78, 고양시,가온누리엠,M7646,218000112,송포초교,219000434,영등포소방서.타임스퀘어,118000511,25분~40분,30분~60분,00:00,23:00,07:20,00:00
79, 고양시,가온누리엠,M7646,218000112,송포초교,219000434,영등포소방서.타임스퀘어,118000511,25분~40분,30분~60분,06:00,23:00,07:20,00:00
80, 고양시,서울여객,730,218000116,진관공영차고지,111001112,홍대입구역(중),113000422,20분~35분,20분~35분,05:10,22:40,06:05,23:45
81, 고양시,명성운수,11,219000001,성석동,219000339,행신역,218000463,9분~12분,16분~19분,04:40,22:40,05:45,23:55
82, 고양시,명성운수,871,219000004,성석동,219000339,여의도환승센터(1번승강장),118000513,75분~90분,110분~130분,04:45,22:40,05:50,23:50
83, 고양시,명성운수,82,219000005,명성운수종점,218001350,신촌오거리.현대백화점(중),113000416,30분~40분,70분~80분,05:00,22:30,06:00,23:40
84, 고양시,명성운수,1082,219000006,명성운수종점,218001350,CM충무병원,118000524,10분~13분,13분~16분,05:00,22:30,05:55,23:30
85, 고양시,명성운수,108,219000007,일산터미널,219000238,여의도역,118000070,120분,120분~200분,05:20,22:40,06:20,23:40
86, 고양시,서울여객,55,219000008,킨텍스제2전시장,219000676,양광교회,111000165,250분~280분,250분~280분,05:20,23:05,05:15,23:05
87, 고양시,명성운수,1000,219000013,대화동,219000412,숭례문,101000022,8분~11분,15분~18분,04:30,00:00,05:20,00:50
88, 고양시,명성운수,1000,219000013,대화동,219000412,숭례문,101000022,8분~11분,15분~18분,04:30,23:00,05:20,23:50
89, 고양시,명성운수,77,219000014,고양공영차고지,219000644,신촌기차역,112000127,120분~200분,120분~200분,04:40,22:45,05:30,23:50
90, 고양시,명성운수,921,219000015,탄현동종점,219000188,신촌오거리.현대백화점(중),113000416,25분~30분,27분~32분,05:00,23:00,06:10,00:15
91, 고양시,명성운수,1200,219000016,탄현동종점,219000188,숭례문,101000022,10분~13분,16분~19분,04:50,22:50,05:50,23:50
92, 고양시,명성운수,72,219000021,대화동,219000412,현대백화점,112000176,55분~70분,85분~100분,04:30,22:50,05:20,23:50
93, 고양시,명성운수,870,219000023,대화동,219000412,영등포소방서.타임스퀘어,118000511,60분~70분,130분~150분,04:40,22:40,05:25,23:40
94, 고양시,명성운수,3300,219000025,대화동,219000412,인천공항3층출국장(T2),161000611,25분~60분,60분~85분,04:15,21:45,05:45,23:15
95, 고양시,대원고속,9700,219000026,킨텍스제2전시장(경유),277103703,교육개발원입구(중),121000001,55분~70분,75분~85분,05:00,22:45,06:10,00:00
96, 고양시,명성운수,1900,219000027,일산터미널,219000238,숭례문,101000022,30분~50분,70분~90분,04:50,22:50,05:40,23:50
97, 고양시,명성운수,830,229000017,고양공영차고지,219000644,영등포소방서.타임스퀘어,118000511,25분~30분,25분~30분,04:40,22:40,05:45,23:50
98, 고양시,명성운수,66,229000018,교하차고지,229001251,증산교교차로(경유),277103096,13분~17분,16분~19분,04:40,22:20,06:00,23:55
99, 고양시,서울여객,100,229000030,금촌차고지(기점),229001247,양광교회,111000165,200분~350분,,05:20,23:05,06:30,00:10
100, 고양시,서울여객,333,229000035,금촌차고지(기점),229001247,구파발역.롯데몰(고양.파주),111001117,300분~340분,300분~340분,04:50,21:30,06:20,22:50
101, 고양시,서울여객,790,229000060,고양동종점,218000494,숭례문,101000022,20분~35분,25분~35분,05:00,22:50,06:10,00:00
102, 고양시,서울여객,850,229000063,고양동종점,218000494,행신역,218000463,10분~20분,15분~25분,05:05,22:40,05:50,23:30
103, 고양시,서울여객,799,229000071,금촌차고지(기점),229001247,광화문.광화문빌딩,100000034,15분~25분,20분~40분,03:30,22:20,05:00,23:40
104, 고양시,고양교통,96,232000003,식사동차고지(경유),277102500,강화산성서문,169000080,25분~30분,25분~30분,04:45,00:30,05:30,00:30
105, 고양시,고양교통,95,232000004,식사동차고지(경유),277102500,이케아.롯데아울렛고양점,218001326,10분~15분,15분~20분,04:25,00:00,05:00,00:30
106, 고양시,고양-고양도시관리공사,N001,241210001,백석역3번출구,219000162,세대산전입구,219001009,25분,,7:30,7:55,18:30,18:50
107, 고양시,고양-고양도시관리공사,N002,241210002,고봉4통마을회관,219000505,위시티3.4단지,219000706,60분,,6:10,21:30,,
108, 고양시,고양-고양도시관리공사,N003,241210003,킨텍스,219000673,일산동구청.퀸타운호텔,219000956,55분,,9:10,22:30,,
109, 고양시,고양-고양도시관리공사,N005,241210005,필리핀참전비,218000826,필리핀참전비,218000825,90분,,6:00,21:50,6:40,22:25
110, 고양시,고양-고양도시관리공사,N007,241210007,주엽역,219000481,주엽역,219000481,20분~90분,80분~160분,5:40,21:45,6:15,22:25
111, 고양시,고양-고양도시관리공사,N007,241210007,주엽역,219000481,주엽역,219000481,20분~90분,80분~160분,8:30,18:25,9:10,19:05
112, 고양시,고양-고양도시관리공사,N006A,241210008,지축역,218001179,지축역,218000952,40분,,6:30,22:15,,
113, 고양시,고양-고양도시관리공사,N006B,241210009,지축역,218001179,지축역,218000952,40분,,6:50,22:35,,
114, 고양시,고양-하나교통,017A,241227002,백마역,219000044,원당역,218001083,40분~55분,60분,10:00,18:00,9:30,17:30
115, 고양시,고양-하나교통,017A,241227002,백마역,219000044,원당역,218001083,40분~55분,60분,6:50,18:00,7:10,17:30
116, 고양시,고양-하나교통,019,241227003,원당역,218001083,우인아파트,218000948,10분~16분,12분~20분,5:58,23:46,5:45,23:18
117, 고양시,고양-하나교통,019,241227003,원당역,218001083,우인아파트,218000948,10분~16분,12분~20분,6:12,23:40,6:00,23:23
118, 고양시,고양-하나교통,017B,241227004,한울하임,219000516,동국대병원정문,219000583,,,0:00,0:00,0:00,0:00
119, 고양시,고양-관산운수,025,241293001,삼송역8번출구,218001200,종점,218000803,15분~20분,20분~25분,6:00,23:10,6:30,22:29
120, 고양시,고양-관산운수,025,241293001,삼송역8번출구,218001200,종점,218000803,15분~20분,20분~25분,6:00,23:10,6:30,22:35
121, 고양시,고양-관산운수,026,241293002,안골삼거리,218000837,삼송역8번출구,218001200,25분~30분,30분~35분,6:05,22:20,7:00,21:40
122, 고양시,고양-관산운수,026,241293002,안골삼거리,218000837,삼송역8번출구,218001200,25분~30분,30분~35분,6:05,22:40,6:45,21:55
123, 고양시,고양-관산운수,036,241293003,벽제관지,218001211,오미산주유소,219000101,40분~45분,40분~45분,6:00,23:10,6:50,22:30
124, 고양시,고양-관산운수,037,241293004,삼송역8번출구,218001200,설문동,219000827,10분~15분,15분~20분,5:45,23:56,5:10,23:22
125, 고양시,고양-관산운수,037,241293004,삼송역8번출구,218001200,설문동,219000827,10분~15분,15분~20분,6:05,23:10,5:30,22:33
126, 고양시,고양-관산운수,058,241293005,동문3차아파트,219000813,빛마루.이비에스,219001076,15분~20분,20분~25분,6:15,23:25,5:40,0:15
127, 고양시,고양-관산운수,059,241293006,마을회관,219000293,대화역,219000366,45분~60분,45분~60분,5:10,22:00,5:33,22:23
128, 고양시,고양-관산운수,088,241293007,내유동커뮤니티센터,218001347,삼송역8번출구,218001200,25분~30분,25분~30분,5:50,22:54,6:36,23:40
129, 고양시,고양-한진교통,060,241294002,소만마을1.2.3단지,218001032,화정역3호선,218001046,10분~13분,15분,5:05,23:20,5:45,0:00
130, 고양시,고양-백마운수,038,241295703,둥지마을.베송쥬쥬,219001082,화정역3호선,218001046,13분~18분,18분~25분,5:30,23:00,6:10,23:50
